Latitude (decimal degrees):	53.545
Longitude (decimal degrees):	9.936
Elevation (m):	4
Radiation database:	PVGIS-SARAH2


Slope: 85 deg. 
Azimuth: -90 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.8
System losses (%):	8.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,1.51,2.07,0.0
20200101:0111,0.0,0.0,0.0,1.06,2.07,0.0
20200101:0211,0.0,0.0,0.0,1.32,2.07,0.0
20200101:0311,0.0,0.0,0.0,1.54,2.07,0.0
20200101:0411,0.0,0.0,0.0,1.65,2.07,0.0
20200101:0511,0.0,0.0,0.0,1.92,2.0,0.0
20200101:0611,0.0,0.0,0.0,1.72,2.07,0.0
20200101:0711,0.0,0.0,0.0,1.39,1.93,0.0
20200101:0811,43.33,70.91,2.9,1.12,1.93,0.0
20200101:0911,228.39,312.35,8.25,1.41,1.79,0.0
20200101:1011,138.34,209.73,11.85,2.07,1.79,0.0
20200101:1111,48.13,88.31,13.4,2.86,2.14,0.0
20200101:1211,24.95,47.71,12.76,3.26,2.34,0.0
20200101:1311,17.24,36.4,9.99,3.24,2.48,0.0
20200101:1411,4.86,16.23,5.33,2.71,2.41,0.0
20200101:1511,0.0,0.0,0.0,1.88,2.41,0.0
20200101:1611,0.0,0.0,0.0,1.1,2.34,0.0
20200101:1711,0.0,0.0,0.0,0.31,2.34,0.0
20200101:1811,0.0,0.0,0.0,-0.23,2.41,0.0
20200101:1911,0.0,0.0,0.0,-0.62,2.55,0.0
20200101:2011,0.0,0.0,0.0,-0.67,2.62,0.0
20200101:2111,0.0,0.0,0.0,-0.88,2.55,0.0
20200101:2211,0.0,0.0,0.0,-1.11,2.41,0.0
20200101:2311,0.0,0.0,0.0,-1.36,2.34,0.0
20200102:0011,0.0,0.0,0.0,-1.51,2.41,0.0
20200102:0111,0.0,0.0,0.0,-1.58,2.55,0.0
20200102:0211,0.0,0.0,0.0,-1.42,2.55,0.0
20200102:0311,0.0,0.0,0.0,-1.49,2.62,0.0
20200102:0411,0.0,0.0,0.0,-1.42,2.83,0.0
20200102:0511,0.0,0.0,0.0,-1.36,2.9,0.0
20200102:0611,0.0,0.0,0.0,-0.94,2.83,0.0
20200102:0711,0.0,0.0,0.0,-1.42,2.69,0.0
20200102:0811,103.62,145.75,2.93,-1.48,2.69,0.0
20200102:0911,252.9,339.79,8.3,-0.83,2.55,0.0
20200102:1011,185.46,275.09,11.91,0.02,3.17,0.0
20200102:1111,40.13,70.52,13.48,0.33,3.66,0.0
20200102:1211,7.74,21.15,12.86,0.55,3.79,0.0
20200102:1311,3.86,14.26,10.1,0.56,3.86,0.0
20200102:1411,0.0,5.41,5.45,0.4,3.79,0.0
20200102:1511,0.0,0.0,0.0,0.27,3.66,0.0
20200102:1611,0.0,0.0,0.0,0.41,3.66,0.0
20200102:1711,0.0,0.0,0.0,0.97,3.45,0.0
20200102:1811,0.0,0.0,0.0,1.82,3.38,0.0
20200102:1911,0.0,0.0,0.0,1.21,3.59,0.0
20200102:2011,0.0,0.0,0.0,1.9,3.79,0.0
20200102:2111,0.0,0.0,0.0,2.46,4.07,0.0
20200102:2211,0.0,0.0,0.0,2.94,4.34,0.0
20200102:2311,0.0,0.0,0.0,3.33,4.62,0.0
20200103:0011,0.0,0.0,0.0,3.56,4.83,0.0
20200103:0111,0.0,0.0,0.0,3.75,4.83,0.0
20200103:0211,0.0,0.0,0.0,3.94,4.69,0.0
20200103:0311,0.0,0.0,0.0,4.17,4.55,0.0
20200103:0411,0.0,0.0,0.0,4.44,4.76,0.0
20200103:0511,0.0,0.0,0.0,4.71,4.83,0.0
