Latitude (decimal degrees):	51.298
Longitude (decimal degrees):	9.490
Elevation (m):	141
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.5,0.83,0.0
20200101:0110,0.0,0.0,0.0,0.66,1.1,0.0
20200101:0210,0.0,0.0,0.0,0.49,1.52,0.0
20200101:0310,0.0,0.0,0.0,0.03,1.24,0.0
20200101:0410,0.0,0.0,0.0,-0.69,1.1,0.0
20200101:0510,0.0,0.0,0.0,-1.33,1.31,0.0
20200101:0610,0.0,0.0,0.0,-1.95,1.38,0.0
20200101:0710,0.0,0.0,0.0,-2.12,1.72,0.0
20200101:0810,231.3,97.98,4.32,-1.87,1.72,0.0
20200101:0910,588.87,219.79,10.03,-1.08,1.66,0.0
20200101:1010,639.0,237.73,13.91,0.3,2.14,0.0
20200101:1110,1314.48,475.41,15.62,0.93,2.28,0.0
20200101:1210,1619.52,589.78,15.02,1.52,2.21,0.0
20200101:1310,1529.91,558.6,12.16,1.79,2.0,0.0
20200101:1410,931.2,343.71,7.29,1.4,1.72,0.0
20200101:1510,0.0,0.0,0.0,0.3,1.93,0.0
20200101:1610,0.0,0.0,0.0,-0.83,2.0,0.0
20200101:1710,0.0,0.0,0.0,-1.48,2.0,0.0
20200101:1810,0.0,0.0,0.0,-1.85,2.07,0.0
20200101:1910,0.0,0.0,0.0,-1.69,2.14,0.0
20200101:2010,0.0,0.0,0.0,-1.8,2.21,0.0
20200101:2110,0.0,0.0,0.0,-1.7,2.34,0.0
20200101:2210,0.0,0.0,0.0,-1.63,2.34,0.0
20200101:2310,0.0,0.0,0.0,-1.68,2.28,0.0
20200102:0010,0.0,0.0,0.0,-1.81,2.14,0.0
20200102:0110,0.0,0.0,0.0,-2.09,2.07,0.0
20200102:0210,0.0,0.0,0.0,-2.27,2.14,0.0
20200102:0310,0.0,0.0,0.0,-2.4,2.07,0.0
20200102:0410,0.0,0.0,0.0,-2.67,1.93,0.0
20200102:0510,0.0,0.0,0.0,-3.01,1.93,0.0
20200102:0610,0.0,0.0,0.0,-3.23,2.0,0.0
20200102:0710,0.0,0.0,0.0,-2.19,2.62,0.0
20200102:0810,189.9,83.15,4.35,-1.78,2.83,0.0
20200102:0910,227.13,95.65,10.08,-1.3,2.9,0.0
20200102:1010,99.69,50.06,13.97,-0.69,3.45,0.0
20200102:1110,87.39,45.43,15.71,-0.2,3.45,0.0
20200102:1210,94.41,48.21,15.12,0.19,3.45,0.0
20200102:1310,89.46,46.36,12.27,0.58,3.72,0.0
20200102:1410,39.24,25.96,7.41,0.43,2.9,0.0
20200102:1510,0.0,0.0,0.0,0.18,2.69,0.0
20200102:1610,0.0,0.0,0.0,0.04,2.76,0.0
20200102:1710,0.0,0.0,0.0,0.33,2.9,0.0
20200102:1810,0.0,0.0,0.0,0.53,2.97,0.0
20200102:1910,0.0,0.0,0.0,0.1,3.45,0.0
20200102:2010,0.0,0.0,0.0,0.5,3.52,0.0
20200102:2110,0.0,0.0,0.0,0.8,3.59,0.0
20200102:2210,0.0,0.0,0.0,1.21,3.72,0.0
20200102:2310,0.0,0.0,0.0,1.43,3.72,0.0
20200103:0010,0.0,0.0,0.0,1.68,3.66,0.0
20200103:0110,0.0,0.0,0.0,2.14,3.79,0.0
20200103:0210,0.0,0.0,0.0,2.31,4.07,0.0
20200103:0310,0.0,0.0,0.0,2.42,4.07,0.0
20200103:0410,0.0,0.0,0.0,2.46,3.86,0.0
20200103:0510,0.0,0.0,0.0,2.45,3.86,0.0
20200103:0610,0.0,0.0,0.0,2.57,3.93,0.0
20200103:0710,0.0,0.0,0.0,3.57,4.48,0.0
20200103:0810,84.81,45.17,4.39,3.76,4.62,0.0
20200103:0910,62.55,36.16,10.13,3.96,4.69,0.0
20200103:1010,83.16,44.5,14.04,4.24,4.55,0.0
20200103:1110,40.5,26.89,15.8,4.5,4.41,0.0
20200103:1210,40.47,26.89,15.22,4.7,4.48,0.0
20200103:1310,14.88,14.83,12.38,4.98,4.55,0.0
20200103:1410,3.66,8.34,7.53,5.42,4.48,0.0
20200103:1510,0.0,0.0,0.0,5.69,4.48,0.0
20200103:1610,0.0,0.0,0.0,5.98,4.69,0.0
20200103:1710,0.0,0.0,0.0,6.27,4.76,0.0
20200103:1810,0.0,0.0,0.0,6.56,4.97,0.0
20200103:1910,0.0,0.0,0.0,6.68,4.55,0.0
20200103:2010,0.0,0.0,0.0,6.85,4.48,0.0
20200103:2110,0.0,0.0,0.0,6.11,4.48,0.0
20200103:2210,0.0,0.0,0.0,5.15,3.93,0.0
20200103:2310,0.0,0.0,0.0,4.53,3.52,0.0
20200104:0010,0.0,0.0,0.0,3.98,3.31,0.0
20200104:0110,0.0,0.0,0.0,3.58,3.24,0.0
20200104:0210,0.0,0.0,0.0,3.06,3.03,0.0
20200104:0310,0.0,0.0,0.0,2.45,2.9,0.0
20200104:0410,0.0,0.0,0.0,2.21,3.1,0.0
20200104:0510,0.0,0.0,0.0,2.09,3.45,0.0
20200104:0610,0.0,0.0,0.0,2.21,3.79,0.0
20200104:0710,0.0,0.0,0.0,2.31,3.86,0.0
20200104:0810,82.23,43.93,4.43,2.38,3.86,0.0
20200104:0910,277.5,114.69,10.19,2.67,4.07,0.0
20200104:1010,236.16,100.65,14.12,3.07,4.76,0.0
20200104:1110,74.19,40.79,15.89,3.49,5.59,0.0
20200104:1210,71.76,39.87,15.34,3.83,5.86,0.0
20200104:1310,26.28,20.4,12.51,4.04,5.72,0.0
20200104:1410,14.94,14.83,7.67,4.19,5.52,0.0
20200104:1510,0.0,0.0,0.0,4.29,5.45,0.0
20200104:1610,0.0,0.0,0.0,4.32,5.38,0.0
20200104:1710,0.0,0.0,0.0,4.38,5.03,0.0
20200104:1810,0.0,0.0,0.0,4.58,4.48,0.0
20200104:1910,0.0,0.0,0.0,4.52,4.14,0.0
20200104:2010,0.0,0.0,0.0,4.37,4.14,0.0
20200104:2110,0.0,0.0,0.0,3.97,3.31,0.0
20200104:2210,0.0,0.0,0.0,3.66,2.69,0.0
20200104:2310,0.0,0.0,0.0,3.28,2.14,0.0
20200105:0010,0.0,0.0,0.0,2.76,1.72,0.0
20200105:0110,0.0,0.0,0.0,1.95,1.52,0.0
20200105:0210,0.0,0.0,0.0,1.22,1.52,0.0
20200105:0310,0.0,0.0,0.0,0.76,1.45,0.0
20200105:0410,0.0,0.0,0.0,0.51,1.38,0.0
20200105:0510,0.0,0.0,0.0,0.22,1.38,0.0
20200105:0610,0.0,0.0,0.0,0.05,1.17,0.0
20200105:0710,0.0,0.0,0.0,-0.41,1.38,0.0
20200105:0810,279.69,116.03,4.48,-0.09,1.31,0.0
20200105:0910,204.18,88.73,10.25,1.41,1.24,0.0
20200105:1010,142.05,66.75,14.2,2.33,1.45,0.0
20200105:1110,188.55,83.95,16.0,2.95,1.86,0.0
20200105:1210,109.71,54.7,15.46,3.15,2.07,0.0
20200105:1310,83.31,44.5,12.64,3.55,1.79,0.0
20200105:1410,32.28,23.18,7.81,3.87,1.59,0.0
20200105:1510,0.0,0.0,0.0,4.03,1.66,0.0
20200105:1610,0.0,0.0,0.0,4.12,1.72,0.0
20200105:1710,0.0,0.0,0.0,4.2,1.93,0.0
20200105:1810,0.0,0.0,0.0,4.19,2.07,0.0
20200105:1910,0.0,0.0,0.0,3.76,2.07,0.0
20200105:2010,0.0,0.0,0.0,3.6,2.21,0.0
20200105:2110,0.0,0.0,0.0,3.52,2.21,0.0
20200105:2210,0.0,0.0,0.0,3.38,2.21,0.0
20200105:2310,0.0,0.0,0.0,3.25,2.21,0.0
20200106:0010,0.0,0.0,0.0,3.06,2.21,0.0
20200106:0110,0.0,0.0,0.0,2.64,2.14,0.0
20200106:0210,0.0,0.0,0.0,2.45,2.0,0.0
20200106:0310,0.0,0.0,0.0,2.34,1.93,0.0
20200106:0410,0.0,0.0,0.0,2.14,1.93,0.0
20200106:0510,0.0,0.0,0.0,1.94,1.93,0.0
20200106:0610,0.0,0.0,0.0,1.84,1.93,0.0
20200106:0710,0.0,0.0,0.0,2.0,2.07,0.0
20200106:0810,45.84,28.97,4.53,1.72,2.07,0.0
20200106:0910,111.51,55.1,10.33,2.16,1.86,0.0
20200106:1010,129.54,62.12,14.3,2.79,2.62,0.0
20200106:1110,198.63,87.66,16.11,3.29,2.69,0.0
20200106:1210,276.66,115.48,15.58,3.55,2.62,0.0
20200106:1310,229.77,98.68,12.78,3.63,2.69,0.0
20200106:1410,733.77,275.12,7.95,3.64,2.69,0.0
20200106:1510,0.0,0.0,0.0,3.14,2.34,0.0
20200106:1610,0.0,0.0,0.0,2.49,2.55,0.0
20200106:1710,0.0,0.0,0.0,1.84,2.69,0.0
20200106:1810,0.0,0.0,0.0,1.35,2.76,0.0
20200106:1910,0.0,0.0,0.0,0.41,3.17,0.0
20200106:2010,0.0,0.0,0.0,0.16,3.24,0.0
20200106:2110,0.0,0.0,0.0,0.04,3.31,0.0
20200106:2210,0.0,0.0,0.0,0.01,3.24,0.0
20200106:2310,0.0,0.0,0.0,0.08,3.03,0.0
20200107:0010,0.0,0.0,0.0,0.11,2.97,0.0
20200107:0110,0.0,0.0,0.0,0.0,2.55,0.0
20200107:0210,0.0,0.0,0.0,-0.11,2.41,0.0
20200107:0310,0.0,0.0,0.0,0.38,2.34,0.0
20200107:0410,0.0,0.0,0.0,0.99,2.28,0.0
20200107:0510,0.0,0.0,0.0,1.61,2.34,0.0
20200107:0610,0.0,0.0,0.0,2.15,2.34,0.0
20200107:0710,0.0,0.0,0.0,2.09,2.14,0.0
20200107:0810,61.23,35.5,4.59,2.4,2.0,0.0
20200107:0910,340.17,137.04,10.41,2.84,1.93,0.0
20200107:1010,173.4,78.56,14.4,3.45,1.86,0.0
20200107:1110,153.21,71.39,16.23,4.15,1.79,0.0
20200107:1210,142.92,67.68,15.72,4.88,2.55,0.0
20200107:1310,196.08,87.19,12.93,4.98,2.07,0.0
20200107:1410,208.68,91.48,8.11,4.85,2.28,0.0
20200107:1510,0.0,0.0,0.0,4.16,2.55,0.0
20200107:1610,0.0,0.0,0.0,3.62,2.76,0.0
20200107:1710,0.0,0.0,0.0,3.35,2.97,0.0
20200107:1810,0.0,0.0,0.0,2.99,3.17,0.0
20200107:1910,0.0,0.0,0.0,3.39,3.17,0.0
20200107:2010,0.0,0.0,0.0,3.43,3.52,0.0
